#{"t_start": 1683883831.7376928, "env_id": null}
r,l,t
-0.97367,33,130.169266
-1.579315,21,130.216597
-1.004572,20,130.260689
-0.416569,11,130.289291
-1.175215,95,133.285578
-0.19178,34,133.363119
-0.571443,40,133.450657
-0.968681,16,133.517994
-0.986075,21,133.587565
-1.182092,41,133.674448
0.800482,35,133.746129
-0.918124,18,133.785369
1.804196,70,133.942192
-1,8,133.959775
-0.751462,69,134.131782
-0.880959,62,134.262989
-1,21,134.309825
-1,13,134.337668
-0.31425,26,134.40843
-0.338317,61,134.549441
-1.178168,24,134.60149
-0.654423,73,134.759659
-0.886447,29,134.825914
-1,27,134.885117
-0.87152,32,134.964385
-0.385419,57,135.092311
0.755432,90,135.306674
-1.387463,15,135.338625
-1.097156,15,135.369077
0.301002,32,135.439267
-0.99126,34,135.510209
-0.201602,9,135.528402
-0.714789,24,135.575333
-1,13,135.601069
-1.341517,61,135.741344
-1,19,135.814424
-1,18,135.853679
-1.280329,69,135.992408
-0.365678,83,136.156983
-0.512979,55,136.280911
-0.384111,13,136.312388
-0.866539,24,136.366645
0.288844,34,136.476901
-1.185162,49,136.595865
-1.1,37,136.677631
-1.268895,142,137.021805
-0.985153,10,137.044115
-0.90647,28,137.104562
-1.033835,30,137.169365
-0.698001,29,137.23203
-1.163355,34,137.311058
-0.37423,54,137.471362
-1.299996,18,137.510809
0.164308,19,137.551893
-0.056224,22,137.599238
-1.1,34,137.675328
0.577135,37,137.758983
-0.233295,24,137.820993
0.143722,34,137.904095
-1.155217,19,140.696063
0.531044,121,141.005892
-1,10,141.026481
0.143596,90,141.211524
-0.522859,12,141.242845
-0.586834,98,141.5086
-0.349621,19,141.550631
-1.199976,21,141.595732
-1.053081,22,141.643213
0.851582,101,141.86509
-1.272104,24,141.914068
-0.383797,13,141.94222
-0.833355,20,141.980586
-0.759314,32,142.041803
-0.644802,111,142.282704
-0.233942,9,142.301599
-0.471332,65,142.443329
-1.148893,59,142.569979
-1.010493,37,142.645517
-0.178945,38,142.72225
-1.309094,54,142.835872
-0.236361,32,142.902768
-1.087231,12,142.92825
-0.966659,42,143.012093
-1.09769,12,143.03881
-0.566591,38,143.159497
0.955255,44,143.253862
-1.052452,102,143.4775
-1.302259,36,143.55229
0.201574,36,143.630765
-1.298729,39,143.716186
-1,13,143.743763
1.255648,75,143.9138
-0.187813,67,144.061359
-1.119851,45,144.160761
1.072295,55,144.280954
